COUNTY,2008 COUNT,2008 RATE,2009 COUNT,2009 RATE,2010 COUNT,2010 RATE,2011 COUNT,2011 RATE,2012 COUNT,2012 RATE,2013 COUNT,2013 RATE,2014 COUNT,2014 RATE,2015 COUNT,2015 RATE,2016 COUNT,2016 RATE,2017 COUNT,2017 RATE
Washington,0,0,0,0,4,11.9,1,3,3,8.8,4,11.6,4,11.3,3,8.4,6,16.6,7,19.2
Webb,11,4.6,15,6.2,6,2.3,7,2.7,16,5.9,13,4.7,23,8.3,25,8.9,20,6.9,18,6.1
Wharton,1,2.4,0,0,1,2.3,2,4.5,8,18.1,0,0,2,4.7,3,7.1,3,7.1,7,16.4
Wheeler,1,19.5,1,19.2,1,19.5,0,0,2,39.1,1,19.6,2,35.7,1,17.7,2,35.2,3,52.3
Wichita,6,4.6,5,3.7,2,1.6,6,4.7,24,18.9,8,6.3,8,6.1,52,39.3,135,101.9,144,108.5
Wilbarger,1,7,0,0,0,0,0,0,6,39,2,13,0,0,6,42.2,4,27.9,4,27.6
Willacy,4,19.1,5,23.8,7,31.8,1,4.5,6,26.9,13,57.8,2,8.3,16,65.5,9,36.1,6,23.6
Williamson,25,6.4,23,5.6,47,10.8,37,8.1,40,8.3,55,10.8,45,9,94,18.1,75,13.9,97,17.2
Wilson,5,12.2,1,2.4,5,11,1,2.1,6,12.4,2,4,8,16.5,11,22.1,11,21.4,24,45.5
Winkler,0,0,2,28.5,0,0,0,0,0,0,0,0,0,0,2,25.8,4,50.8,1,12.5
Wise,2,3.4,4,6.7,6,9.7,7,11.1,4,6.2,9,13.7,5,7.7,10,15.1,9,13.3,18,25.9
Wood,2,4.7,6,13.9,2,4.5,16,35,5,10.8,0,0,3,6.7,5,11,13,28.3,13,27.9
Yoakum,0,0,0,0,0,0,0,0,0,0,0,0,3,35.2,3,34.5,4,45.2,8,88.6
Young,1,5.5,1,5.5,0,0,1,5.3,1,5.3,1,5.3,1,5.2,5,26,5,25.8,2,10.3
Zapata,0,0,1,6.9,2,13.1,1,6.4,0,0,0,0,5,32.8,3,19.3,1,6.3,4,24.8
Zavala,0,0,0,0,0,0,0,0,0,0,1,7.6,0,0,2,16.2,3,24.1,1,8
