COUNTY,AMEBIASIS,ANAPLASMOSIS,"ARBO, OTHER NON-INVASIVE",BABESIOSIS,BOTULISM,BRUCELLOSIS,CAMPYLOBACTERIOSIS,CHLAMYDIA,CHIKUNGUNYA,CHOLERA,CRYPTOSPORIDIOSIS,CYCLOSPORIASIS,DENGUE FEVER,E. COLI SHIGA-TOXIN,EHRLICHIOSIS,EHRLICH/ANAPLAS UNDETERMINED,ENCEPHALITIS (NON-WNV),GIARDIASIS,GONORRHEA,HAEMOPHILUS INFLUENZAE,HANTAVIRUS,HEMOLYTIC UREMIC SYNDROME,HEPATITIS A,HEPATITIS B ACUTE,HEPATITIS B CHRONIC*,HEPATITIS C ACUTE,HEPATITIS C CHRONIC*,"HERPES INF, INFANT <60 DAYS",LABORATORY CONFIRMED INFLUENZA,LEGIONELLOSIS,LISTERIOSIS,LYME DISEASE,LYMPHOGRANULOMA VENEREUM,MALARIA,MEASLES,MELIOIDOSIS,MENINGITIS ASEPTIC,MENINGOCOCCAL,MENINGITIS OTHER BACT. AND UNKNOWN,MUMPS,PERTUSSIS,PSITTACOSIS,Q FEVER,RMSF,RUBELLA,SALMONELLOSIS,SHIGELLOSIS,STREP GROUP A INVASIVE,STREP GROUP B INVASIVE,STREP PNEUMO INVASIVE,SYPHILIS EARLY,SYPHILIS LATE,TETANUS,TOXIC SHOCK SYNDROME,TUBERCULOSIS,TYPHOID FEVER,VIBRIOSIS,VISA,WEST NILE FEVER,WEST NILE VIRUS,YERSINIOSIS,ZIKA VIRUS
ORLEANS,0,0,0,0,0,0,8,148,0,0,0,0,0,1,0,0,0,0,31,2,0,0,0,0,2,0,21,0,97,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,6,3,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0
OSWEGO,0,0,0,0,0,0,17,327,0,0,5,0,0,2,0,0,0,11,49,0,0,0,0,0,2,4,102,1,793,2,0,125,0,2,0,0,2,0,0,0,6,0,0,0,0,11,2,6,5,9,2,2,0,0,0,0,0,0,0,1,1,1
OTSEGO,0,2,0,1,0,0,13,236,0,0,3,0,0,1,2,0,1,11,26,2,0,0,0,0,4,2,37,0,272,5,0,187,0,0,0,0,1,0,0,1,11,0,0,0,0,7,0,7,8,6,3,0,0,0,0,0,0,0,0,0,0,0
PUTNAM,2,29,0,37,0,0,18,182,0,0,0,0,0,1,5,1,1,14,27,4,0,0,1,0,13,7,54,0,426,2,1,346,0,0,0,0,4,0,0,1,4,0,0,0,0,18,1,3,9,8,10,4,0,0,1,0,2,0,0,0,2,0
RENSSELAER,1,168,0,43,0,0,21,738,0,0,2,0,0,2,3,1,2,6,176,5,0,0,1,0,16,6,85,0,477,3,0,633,1,0,0,0,8,0,0,4,6,0,0,0,0,11,2,12,16,17,23,15,0,2,1,0,2,0,0,0,0,0
ROCKLAND,8,7,0,17,0,0,113,944,0,0,3,0,1,9,4,0,4,25,124,10,0,1,1,1,41,6,121,2,663,13,3,207,0,1,0,0,21,0,4,4,8,0,0,4,0,47,6,12,29,27,31,30,0,0,14,0,0,0,0,0,2,4
ST. LAWRENCE,1,6,0,1,0,0,18,264,0,0,4,0,0,6,1,0,0,10,24,2,0,0,0,1,5,10,101,1,748,4,0,230,0,0,0,0,1,1,3,2,3,0,0,0,0,13,1,7,12,19,4,1,0,0,1,0,0,0,2,1,0,0
SARATOGA,1,126,1,10,0,0,44,607,0,0,6,0,0,4,2,0,4,21,71,4,0,0,2,0,14,2,66,0,1210,7,0,316,0,4,0,0,5,0,0,33,4,0,0,3,0,9,0,10,24,16,12,6,0,0,0,1,1,0,0,0,1,0
SCHENECTADY,0,16,0,4,0,0,36,875,0,0,2,1,0,4,0,0,0,13,321,7,0,0,0,1,16,0,110,0,961,8,1,115,0,1,0,0,0,0,0,2,3,0,0,2,0,12,9,11,12,16,22,28,0,3,0,0,1,0,0,0,1,0
SCHOHARIE,0,11,0,1,0,0,11,93,0,0,3,0,0,0,0,0,0,3,13,1,0,0,0,0,0,0,18,0,75,2,0,59,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0
